Time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
63919522887840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.67112531923572,-66.36622491580908,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.4987020532,442740.7002538202,-74510.77478749625
63919522892840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.203877131221297,-67.80626408407106,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.6590659267,442741.7298839985,-74510.59411294298
63919522897840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,18.910498952801397,-68.1076270475043,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.8194374887,442742.7595535052,-74510.41343071358
63919522902840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,16.65359378767976,-63.384764973979124,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.9798071568,442743.78920054925,-74510.23275169934
63919522907840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,16.928685902380657,-65.6533497423628,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.1401718073,442744.81880458584,-74510.05207953125
63919522912840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,19.409442602608323,-64.74363069336025,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.3005441173,442745.8484479497,-74509.87139965972
63919522917840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.19921461506069,-64.3645104980975,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.4609145562,442746.87806888594,-74509.69072307157
63919522922840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,14.417309672229182,-62.99539954786354,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.6212927091,442747.9077291735,-74509.51003873302
63919522927840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,19.685799587129985,-68.16060553059518,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.7816625831,442748.93732579413,-74509.3293648918
63919522932840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,18.409154761121343,-66.46431587889838,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286542.9420401508,442749.96696181304,-74509.14868338197
63919522937840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,24.7211400698579,-62.85499339337822,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.1024158185,442750.99657537707,-74508.96800507541
63919522942840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.004785551451867,-68.43175420494441,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.2627960367,442752.0262076672,-74508.78732271935
63919522947840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.152621001872213,-63.93853502147393,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.4231711528,442753.05579690833,-74508.60664720659
63919522952840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.53400875764599,-65.79108762307152,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.5835572546,442754.0854461154,-74508.42596044124
63919522957840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.66474868131044,-60.76085814365354,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.743938203,442755.1150522885,-74508.24528043997
63919522962840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.468457398111653,-62.79851034401846,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286543.9043236515,442756.1446771742,-74508.06459641148
63919522967840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,16.348449620937238,-70.12651878966875,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286544.06470398,442757.1742590964,-74507.88391922222
63919522972840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.2957530788617,-64.92323188054216,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286544.225092069,442758.20388029417,-74507.70323436987
63919522977841.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.64714793192122,-60.867114453709334,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286544.38548154,442759.2334996736,-74507.52254912164
